title,price,year,description,region
"Chevrolet Gentra, 3 pozitsiya","~13 198 у.е.
                            ","
                                                    2023 yil,
                        ","
                                        1.5 l, Benzin, Qora, Sedan, Uzatish qutisi Avtomat, Yengil qotishmali disklar, Lyuk, Tumanga qarshi chiroqlar, Oyna is…
                            ",Farg'ona
"Chevrolet Spark, 2 pozitsiya","7 400 у.е.
                            ","
                                                    2012 yil,
                        ","
                                        1.3 l, Benzin, 150 km, Kumush rang, Hatchback, Uzatish qutisi Mexanika, Xolati yaxshi
                            ",Toshkent
"Chevrolet Cobalt, 4 pozitsiya","~15 086 у.е.
                            ","
                                                    2020 yil,
                        ","
                                        1.5 l, Benzin, Sedan, Uzatish qutisi Avtomat, Yengil qotishmali disklar, Lyuk, Duga, Tumanga qarshi chiroqlar, Oyna is…
                            ",Nukus
"Chevrolet Nexia 2, 1 pozitsiya DOHC","10 000 у.е.
                            ","
                                                    2015 yil,
                        ","
                                        1.6 l, Benzin, Sedan, Uzatish qutisi Mexanika, Audiosistema, Super
                            ",Denov
Chevrolet Damas,"9 700 у.е.
                            ","
                                                    2022 yil,
                        ","
                                        Gaz-benzin, Sedan, Chexol pollik qilingan, metani bor tanirovka qilingan, balonlari radnoy halol yurgani 38000 kamchil…
                            ",Buxoro
Chevrolet Malibu 2,"38 000 у.е.
                            ","
                                                    2022 yil,
                        ","
                                        Benzin, Sedan, Малибу пример пачка 2022
                            ",Samarqand
"Chevrolet Gentra, 3 pozitsiya","13 700 у.е.
                            ","
                                                    2018 yil,
                        ","
                                        1.6 l, Gaz-benzin, 174 km, Sedan, Uzatish qutisi Avtomat, Yaxshi xolatda srochna sotiladi
                            ",Toshkent
"Chevrolet Gentra, 2 pozitsiya","~15 086 у.е.
                            ","
                                                    2022 yil,
                        ","
                                        1.5 l, Gaz-benzin, 32 000 km, Mokriy asfalt, Sedan, Uzatish qutisi Mexanika, Tumanga qarshi chiroqlar, Oyna isitgich,…
                            ",Navoiy
"Chevrolet Nexia 2, 4 pozitsiya SOHC","7 000 у.е.
                            ","
                                                    2009 yil,
                        ","
                                        1.5 l, Benzin, Sedan, Uzatish qutisi Mexanika, Продаю своего верного железного коня, в отличном состоянии, дополнитель…
                            ",Samarqand
"Chevrolet Cobalt, 4 pozitsiya","13 800 у.е.
                            ","
                                                    2020 yil,
                        ","
                                        1.5 l, Benzin, Sedan, Uzatish qutisi Avtomat, Yengil qotishmali disklar, Lyuk, Duga, Tumanga qarshi chiroqlar, Oyna is…
                            ",Toshkent
Chevrolet Onix,"16 700 у.е.
                            ","
                                                    2023 yil,
                        ","
                                        3 l, Benzin, Qora, Sedan, Uzatish qutisi Mexanika
                            ",Namangan
"Chevrolet Tracker, 3 pozitsiya","24 100 у.е.
                            ","
                                                    2023 yil,
                        ","
                                        1.2 l, Benzin, 5 km, Oq, Krossover, Uzatish qutisi Avtomat, Tracker Primer
                            ",Toshkent
"Chevrolet Spark, 4 pozitsiya EVRO","13 500 у.е.
                            ","
                                                    2023 yil,
                        ","
                                        1.3 l, Benzin, Kumush rang, Hatchback, Uzatish qutisi Avtomat, Yengil qotishmali disklar, Tumanga qarshi chiroqlar, Oy…
                            ",Toshkent
"Chevrolet Cobalt, 4 pozitsiya","15 300 у.е.
                            ","
                                                    2022 yil,
                        ","
                                        1.5 l, Benzin, Oq, Sedan, Uzatish qutisi Avtomat, Yengil qotishmali disklar, Lyuk, Duga, Tumanga qarshi chiroqlar, Oyn…
                            ",Toshkent
Chevrolet Matiz,"5 200 у.е.
                            ","
                                                    2011 yil,
                        ","
                                        Gaz-benzin, Hatchback, Чап крило килинган
                            ",Toshkent
"Chevrolet Nexia 3, 4 pozitsiya","12 000 у.е.
                            ","
                                                    2019 yil,
                        ","
                                        1.5 l, Benzin, Sedan, Uzatish qutisi Avtomat, Nexia 3 avtomat 2019 yil probeg 130000min 4 pokaleniya metan bor cherez…
                            ",Toshkent
"Chevrolet Cobalt, 2 pozitsiya","12 200 у.е.
                            ","
                                                    2018 yil,
                        ","
                                        1.5 l, Benzin, Sedan, Uzatish qutisi Mexanika, Cobalt LT mexanika 2018 yil probeg 128000min kraska kalenka petno bor c…
                            ",Toshkent
"Chevrolet Nexia 3, 4 pozitsiya","14 400 у.е.
                            ","
                                                    2022 yil,
                        ","
                                        1.5 l, Benzin, Sedan, Uzatish qutisi Avtomat, Бар Межикар 907 Антирадар 8800 Пробег — 23.700
                            ",Toshkent
"Chevrolet Matiz, 2 pozitsiya","3 000 у.е.
                            ","
                                                    2002 yil,
                        ","
                                        0.8 l, Benzin, Hatchback, Uzatish qutisi Mexanika, Audiosistema, Moshina Benzinda + 998936290018
                            ",Olmaliq
"Chevrolet Cobalt, 3 pozitsiya","11 500 у.е.
                            ","
                                                    2015 yil,
                        ","
                                        1.5 l, Gaz-benzin, 260 000 km, Oq, Sedan, Uzatish qutisi Mexanika, Yengil qotishmali disklar, Tumanga qarshi chiroqlar…
                            ",Toshkent
"Chevrolet Lacetti, 2 pozitsiya","10 600 у.е.
                            ","
                                                    2012 yil,
                        ","
                                        1.8 l, Gaz-benzin, 165 km, Sedan, Uzatish qutisi Mexanika, Tumanga qarshi chiroqlar, Oyna isitgich, Audiosistema, Gidr…
                            ",Toshkent
"Chevrolet Orlando, 2 pozitsiya","14 000 у.е.
                            ","
                                                    2014 yil,
                        ","
                                        1.8 l, Gaz-benzin, 255 000 km, Mokriy asfalt, Miniven, Uzatish qutisi Mexanika, Lyuk, Tumanga qarshi chiroqlar, Oyna i…
                            ",Bekobod
"Chevrolet Tracker, 2 pozitsiya","18 700 у.е.
                            ","
                                                    2019 yil,
                        ","
                                        1.8 l, Gaz-benzin, 93 000 km, Oq, Krossover, Uzatish qutisi Avtomat, Yengil qotishmali disklar, Audiosistema, Bluetoot…
                            ",Toshkent
"Chevrolet Nexia 3, 2 pozitsiya","10 500 у.е.
                            ","
                                                    2019 yil,
                        ","
                                        1.5 l, Benzin, 50 000 km, Oq, Sedan, Uzatish qutisi Mexanika, Tumanga qarshi chiroqlar, Audiosistema, Gidravlikali rul…
                            ",Toshkent
"Chevrolet Tracker, 3 pozitsiya","25 000 у.е.
                            ","
                                                    2023 yil,
                        ","
                                        Benzin, Uzatish qutisi Avtomat, Moshina salondan uyga minilgan pochka
                            ",Samarqand
Chevrolet Monza,"21 500 у.е.
                            ","
                                                    2023 yil,
                        ","
                                        1.5 l, Benzin, Qora, Sedan, Uzatish qutisi Avtomat, Yengil qotishmali disklar, Lyuk, Yukxona, Biksenon, Tashqi chiroq…
                            ",Toshkent
"Chevrolet Matiz, 4 pozitsiya","~5 603 у.е.
                            ","
                                                    2014 yil,
                        ","
                                        0.8 l, Benzin, 103 000 km, Oq, Hatchback, Uzatish qutisi Mexanika, Duga, Yengil qotishmali disklar, Audiosistema, Kond…
                            ",Toshkent
"Chevrolet Matiz Best, 3 pozitsiya","6 300 у.е.
                            ","
                                                    2017 yil,
                        ","
                                        1 l, Benzin, 62 000 km, Oq, Hatchback, Uzatish qutisi Mexanika, Duga, Tumanga qarshi chiroqlar, Audiosistema, Butun el…
                            ",Samarqand
Chevrolet Damas,"~7 328 у.е.
                            ","
                                                    2021 yil,
                        ","
                                        0.8 l, Benzin, 33 000 km, Miniven, Uzatish qutisi Mexanika, Damas 2021 kraska toza lizingga beriladi 1 yildan 5 yilgac…
                            ",Buxoro
Chevrolet Tracker 2,"24 500 у.е.
                            ","
                                                    2023 yil,
                        ","
                                        1.2 l, Benzin, 1 070 km, Oq, Uzatish qutisi Avtomat, Yengil qotishmali disklar, Tonirovka, Lyuk, Tom qopqog'i, Shamolt…
                            ",Toshkent
"Chevrolet Cobalt, 2 pozitsiya EVRO","13 200 у.е.
                            ","
                                                    2018 yil,
                        ","
                                        1.5 l, Benzin, 63 000 km, Oq, Sedan, Uzatish qutisi Avtomat, Yengil qotishmali disklar, Tumanga qarshi chiroqlar, Oyna…
                            ",Toshkent
"Chevrolet Lacetti, 1 pozitsiya Gaz-benzin","~12 500 у.е.
                            ","
                                                    2016 yil,
                        ","
                                        1.8 l, Gaz-benzin, Sedan, Uzatish qutisi Mexanika, Oyna isitgich, Audiosistema, Gidravlikali rul, ABS, Butun elektr pa…
                            ",Navoiy
"Chevrolet Gentra, 3 pozitsiya","19 000 у.е.
                            ","
                                                    2023 yil,
                        ","
                                        1.6 l, Benzin, Qora, Sedan, Uzatish qutisi Avtomat, Yengi bez probeg
                            ",Toshkent
Chevrolet Gentra,"14 000 у.е.
                            ","
                                                    2018 yil,
                        ","
                                        1.6 l, Benzin, Sedan, Uzatish qutisi Avtomat, Монитор, руль, табло, киммат чехол 3d полик, меджикар, 4 поколение метан…
                            ",Samarqand
"Chevrolet Nexia 2, 2 pozitsiya DOHC","5 300 у.е.
                            ","
                                                    2009 yil,
                        ","
                                        1.6 l, Benzin, 380 000 km, Qora, Sedan, Uzatish qutisi Mexanika, Audiosistema, Gidravlikali rul, Texnik ko'rikdan o'tg…
                            ",Toshkent
Chevrolet Damas,"10 000 у.е.
                            ","
                                                    2020 yil,
                        ","
                                        Benzin, Sedan, 2020 50min km navarotlari bilan 10.000$ bo’ lishi
                            ",Toshkent
"Chevrolet Gentra, 1 pozitsiya Gaz-benzin","12 400 у.е.
                            ","
                                                    2017 yil,
                        ","
                                        1.6 l, Gaz-benzin, 110 300 km, Oq, Sedan, Uzatish qutisi Mexanika, Oyna isitgich, Audiosistema, Gidravlikali rul, ABS,…
                            ",Andijon
"Chevrolet Spark, 2 pozitsiya","9 500 у.е.
                            ","
                                                    2019 yil,
                        ","
                                        1.5 l, Gaz-benzin, 39 560 km, Oq, Hatchback, Uzatish qutisi Mexanika, Tumanga qarshi chiroqlar, Audiosistema, Gidravli…
                            ",Farg'ona
"Chevrolet Spark, 4 pozitsiya","9 300 у.е.
                            ","
                                                    2018 yil,
                        ","
                                        1.3 l, Gaz-benzin, Oq, Hatchback, Uzatish qutisi Avtomat, Yengil qotishmali disklar, Tumanga qarshi chiroqlar, Audiosi…
                            ",Toshkent
Chevrolet Damas,"~8 017 у.е.
                            ","
                                                    2021 yil,
                        ","
                                        0.8 l, Gaz-benzin, 13 000 km, Oq, Miniven, Uzatish qutisi Mexanika, Audiosistema, MP3, USB, Texnik ko'rikdan o'tgan, P…
                            ",Namangan
"Chevrolet Matiz, 2 pozitsiya","~6 422 у.е.
                            ","
                                                    2017 yil,
                        ","
                                        0.8 l, Benzin, Hatchback, Uzatish qutisi Mexanika, Imogo LEND компанияси мижозларга кулай шароитларда лизинг асосида м…
                            ",Toshkent
"Chevrolet Gentra, 3 pozitsiya","17 700 у.е.
                            ","
                                                    2022 yil,
                        ","
                                        1.5 l, Benzin, 8 000 km, Oq, Sedan, Uzatish qutisi Avtomat, Yengil qotishmali disklar, Lyuk, Tumanga qarshi chiroqlar,…
                            ",Samarqand
"Chevrolet Matiz, 2 pozitsiya","4 200 у.е.
                            ","
                                                    2010 yil,
                        ","
                                        0.8 l, Gaz-benzin, 7 000 km, Qaymoq rang, Hatchback, Uzatish qutisi Mexanika, Audiosistema, 2010Yil chiqan birinchi qo…
                            ",Toshkent
"Chevrolet Spark, 2 pozitsiya","7 800 у.е.
                            ","
                                                    2015 yil,
                        ","
                                        1.3 l, Benzin, Hatchback, Uzatish qutisi Mexanika, Tumanga qarshi chiroqlar, Audiosistema, Gidravlikali rul, Xavfsizli…
                            ",Toshkent
"Chevrolet Spark, 2 pozitsiya","9 000 у.е.
                            ","
                                                    2018 yil,
                        ","
                                        1.3 l, Benzin, 85 000 km, Jigar rang, Hatchback, Uzatish qutisi Mexanika, Tumanga qarshi chiroqlar, Audiosistema, Xavf…
                            ",Toshkent
"Chevrolet Spark, 4 pozitsiya","11 300 у.е.
                            ","
                                                    2018 yil,
                        ","
                                        1.3 l, Benzin, Hatchback, Uzatish qutisi Avtomat, Yengil qotishmali disklar, Tumanga qarshi chiroqlar, Audiosistema, G…
                            ",Toshkent
"Chevrolet Gentra, 3 pozitsiya","~13 362 у.е.
                            ","
                                                    2016 yil,
                        ","
                                        1.6 l, Gaz-benzin, 99 600 km, Delfin, Sedan, Uzatish qutisi Avtomat, Yengil qotishmali disklar, Lyuk, Tumanga qarshi c…
                            ",Navoiy
"Chevrolet Lacetti, 2 pozitsiya","15 800 у.е.
                            ","
                                                    2023 yil,
                        ","
                                        1.8 l, Benzin, Sedan, Uzatish qutisi Mexanika, Tumanga qarshi chiroqlar, Oyna isitgich, Audiosistema, Gidravlikali rul…
                            ",Toshkent
"Chevrolet Cobalt, 4 pozitsiya","12 900 у.е.
                            ","
                                                    2015 yil,
                        ","
                                        1.5 l, Benzin, 133 000 km, Oq, Sedan, Uzatish qutisi Avtomat, Tonirovka, Cobalt 4 позиция. Выпуск 2015г. Пробег 133000…
                            ",Toshkent
"Chevrolet Nexia 2, 2 pozitsiya SOHC","~6 034 у.е.
                            ","
                                                    2009 yil,
                        ","
                                        1.5 l, Benzin, Sedan, Uzatish qutisi Mexanika, Audiosistema, Gidravlikali rul, Нексия 2, сонс трамблёр, пробег халол,…
                            ",Qorao'zak tumani
Chevrolet Monza,"23 400 у.е.
                            ","
                                                    2023 yil,
                        ","
                                        1.3 l, Benzin, Qora, Sedan, Uzatish qutisi Avtomat, Yengil qotishmali disklar, Lyuk, Yukxona, Biksenon, Tashqi chiroq…
                            ",Toshkent
"Chevrolet Gentra, 3 pozitsiya","19 500 у.е.
                            ","
                                                    2022 yil,
                        ","
                                        1.5 l, Benzin, 9 000 km, Qora, Sedan, Uzatish qutisi Avtomat, Lyuk, Spoyler, Kuzov to'plami, Yengil qotishmali disklar…
                            ",Toshkent
"Chevrolet Nexia 3, 4 pozitsiya","~11 034 у.е.
                            ","
                                                    2018 yil,
                        ","
                                        1.5 l, Benzin, 98 000 km, Sadaf-jigarrang, Sedan, Uzatish qutisi Avtomat, Yengil qotishmali disklar, Tumanga qarshi ch…
                            ",Toshkent
"Chevrolet Matiz, 2 pozitsiya","~6 422 у.е.
                            ","
                                                    2017 yil,
                        ","
                                        0.8 l, Benzin, Oq, Hatchback, Uzatish qutisi Mexanika, Audiosistema, Matiz 2 pozitsya mogolend tomonidan avtolizingga…
                            ",Toshkent
"Chevrolet Matiz, 1 pozitsiya","~7 241 у.е.
                            ","
                                                    2018 yil,
                        ","
                                        0.8 l, Benzin, Hatchback, Uzatish qutisi Mexanika, Imogo LEND компанияси мижозларга кулай шароитларда лизинг асосида м…
                            ",Toshkent
"Chevrolet Cobalt, 4 pozitsiya","~11 089 у.е.
                            ","
                                                    2023 yil,
                        ","
                                        1.5 l, Benzin, Sedan, Uzatish qutisi Avtomat, Biz sizlarga Avtokredit Xizmatimizni Taklif Qilamiz! Kredit muddati 1 yi…
                            ",Namangan
"Chevrolet Orlando, 2 pozitsiya","16 500 у.е.
                            ","
                                                    2014 yil,
                        ","
                                        Gaz-benzin, 71 000 km, Mokriy asfalt, Miniven, Uzatish qutisi Mexanika, Lyuk, Tumanga qarshi chiroqlar, Faralar korrek…
                            ",Samarqand
"Chevrolet Cobalt, 4 pozitsiya","15 500 у.е.
                            ","
                                                    2021 yil,
                        ","
                                        1.5 l, Benzin, 63 000 km, Oq, Sedan, Uzatish qutisi Avtomat, Yengil qotishmali disklar, Tonirovka, Lyuk, Duga, Tumanga…
                            ",Toshkent
"Chevrolet Cobalt, 4 pozitsiya","~11 090 у.е.
                            ","
                                                    2023 yil,
                        ","
                                        1.5 l, Benzin, Sedan, Uzatish qutisi Avtomat, Biz sizlarga Avtokredit Xizmatimizni Taklif Qilamiz! Kredit muddati 1 yi…
                            ",Qarshi
"Chevrolet Captiva, 4 pozitsiya","24 500 у.е.
                            ","
                                                    2017 yil,
                        ","
                                        2.4 l, Benzin, 85 000 km, Mokriy asfalt, Krossover, Uzatish qutisi Avtomat, Charm, USB, Bluetooth, MP3, Pul sarflashni…
                            ",Sho'rchi tumani
"Chevrolet Nexia 2, 2 pozitsiya DOHC","8 100 у.е.
                            ","
                                                    2015 yil,
                        ","
                                        1.6 l, Benzin, Sedan, Uzatish qutisi Mexanika, Audiosistema, Gidravlikali rul, Йил 2015, донс 1, 6. Краска радной, пет…
                            ",Buxoro
Chevrolet Tracker 2,"22 600 у.е.
                            ","
                                                    2022 yil,
                        ","
                                        1.5 l, Benzin, 17 200 km, Mokriy asfalt, Yo‘ltanlamas, Uzatish qutisi Avtomat, Yengil qotishmali disklar, Lyuk, Lebyod…
                            ",Toshkent
Chevrolet Tracker Premier,"~21 650 у.е.
                            ","
                                                    2023 yil,
                        ","
                                        1.2 l, Benzin, Oq, Uzatish qutisi Avtomat, Primer autodan NEW 2023 Xalol nasiya savdo 1 yildan 7yilgacha boshlang'ich…
                            ",Toshkent
